ticker,date,open,high,low,close,volume
WMT,2023-01-03,44.9867,45.3733,44.8333,45.3367,5749895.0
WMT,2023-01-04,45.2767,45.4867,44.8267,45.39,4446303.0
WMT,2023-01-05,45.29,45.5133,45.02,45.2267,4424807.0
WMT,2023-01-06,45.67,46.6533,45.55,46.3967,7077269.0
WMT,2023-01-09,46.2433,46.7567,45.7367,45.7867,5918873.0
WMT,2023-01-10,45.7833,45.9533,45.38,45.7567,3990219.0
WMT,2023-01-11,46.05,46.1967,45.7133,46.18,4944866.0
WMT,2023-01-12,46.2733,46.2767,45.6,45.74,4157593.0
WMT,2023-01-13,45.98,46.0767,45.4233,45.9,4566729.0
WMT,2023-01-17,45.9,46.04,45.5367,45.6067,5040811.0
WMT,2023-01-18,45.5367,45.5533,44.2967,44.4167,7558141.0
WMT,2023-01-19,44.6,44.6467,43.7333,43.7467,5780700.0
WMT,2023-01-20,43.9367,44.3967,43.5267,44.3167,9847661.0
WMT,2023-01-23,44.29,45.14,44.2033,45.0167,4383271.0
WMT,2023-01-24,46.32,50.7633,44.47,45.1433,4556450.0
WMT,2023-01-25,44.8833,45.0833,44.2667,44.9167,4163912.0
WMT,2023-01-26,45.1467,45.3867,44.7233,44.8733,5273032.0
WMT,2023-01-27,45.0033,45.6267,44.72,45.2367,6137582.0
WMT,2023-01-30,44.8433,44.9533,44.56,44.8533,5299156.0
WMT,2023-01-31,44.91,45.43,44.69,45.4267,4701157.0
WMT,2023-02-01,45.3567,46.0067,45.0367,45.6933,4283059.0
WMT,2023-02-02,45.6067,45.7567,45.1167,45.3433,5935591.0
WMT,2023-02-03,45.2567,45.4567,44.4233,44.7067,5718501.0
WMT,2023-02-06,44.7433,44.8367,44.1467,44.3633,5817971.0
WMT,2023-02-07,44.06,44.57,43.7,44.4633,5447116.0
WMT,2023-02-08,44.2467,44.5033,44.1333,44.21,3897058.0
WMT,2023-02-09,44.4267,44.7833,44.3267,44.6433,4354979.0
WMT,2023-02-10,45.1667,45.45,44.86,45.3767,5000947.0
WMT,2023-02-13,45.7067,46.1767,45.64,46.1067,5338635.0
WMT,2023-02-14,46.0467,46.5133,45.6567,45.9667,4610630.0
WMT,2023-02-15,45.79,46.3367,45.6567,46.3267,4892684.0
WMT,2023-02-16,45.9633,46.1333,45.53,45.56,5437386.0
WMT,2023-02-17,45.84,46.3667,45.66,46.2833,8256940.0
WMT,2023-02-21,45.0967,46.9167,44.8533,46.58,18131279.0
WMT,2023-02-22,46.3933,46.66,45.0567,45.55,9947985.0
WMT,2023-02-23,45.5933,45.5933,44.3733,44.8333,7340419.0
WMT,2023-02-24,44.4167,45.05,43.98,44.96,6874531.0
WMT,2023-02-27,45.04,45.1667,44.3567,44.6167,5549099.0
WMT,2023-02-28,44.47,45.02,44.4533,44.8467,6018036.0
WMT,2023-03-01,44.49,44.5633,43.9267,44.1867,4726732.0
WMT,2023-03-02,44.0833,44.3833,43.97,44.3033,4929515.0
WMT,2023-03-03,44.4833,44.5333,44.06,44.36,5629559.0
WMT,2023-03-06,44.3033,44.4633,44.1433,44.3533,5573612.0
WMT,2023-03-07,44.53,44.6967,43.7333,43.8867,5795838.0
WMT,2023-03-08,43.6567,43.7767,43.23,43.5033,6363574.0
WMT,2023-03-09,43.7467,43.7967,43.11,43.1933,5138563.0
WMT,2023-03-10,43.1433,43.5633,42.8333,43.1267,6688361.0
WMT,2023-03-13,43.03,43.6367,42.9967,43.26,9380690.0
WMT,2023-03-14,43.3667,43.56,43.1367,43.5033,8514220.0
WMT,2023-03-15,43.1,44.0733,43.04,44.0167,11044539.0
WMT,2023-03-16,44.1367,44.21,43.62,43.7533,9637470.0
WMT,2023-03-17,43.7233,44.1567,43.5233,44.1267,14360402.0
WMT,2023-03-20,44.36,44.9667,44.2633,44.6267,11309529.0
WMT,2023-03-21,44.79,44.79,44.17,44.4667,6337781.0
WMT,2023-03-22,44.54,44.7333,44.1467,44.1667,6182807.0
WMT,2023-03-23,44.3933,44.8633,44.1567,44.5433,7348067.0
WMT,2023-03-24,44.6633,45.15,44.5267,44.9267,7584272.0
WMT,2023-03-27,45.2567,45.9867,45.2533,45.7167,8925172.0
WMT,2023-03-28,45.5433,45.7967,45.3433,45.53,7094282.0
WMT,2023-03-29,45.7833,45.98,45.4767,45.7367,8072466.0
