ticker,date,open,high,low,close,volume
JPM,2023-01-03,121.04,122.54,119.69,120.92,11054778.0
JPM,2023-01-04,121.79,123.48,121.37,122.18,11687643.0
JPM,2023-01-05,122.46,122.51,120.5,122.15,8381265.0
JPM,2023-01-06,122.93,125.18,121.29,124.74,10029076.0
JPM,2023-01-09,125.4,125.68,123.68,124.17,8482297.0
JPM,2023-01-10,124.59,125.52,124.11,125.4,9048665.0
JPM,2023-01-11,125.7,126.55,124.9,126.43,8703698.0
JPM,2023-01-12,126.8,127.66,126.02,126.29,11001666.0
JPM,2023-01-13,122.4,130.29,121.6,129.81,20200047.0
JPM,2023-01-17,127.97,128.34,126.03,127.6,14292881.0
JPM,2023-01-18,125.72,127.53,123.21,123.37,13392601.0
JPM,2023-01-19,122.12,122.7,120.39,121.55,13303371.0
JPM,2023-01-20,121.96,122.29,120.35,121.88,13092492.0
JPM,2023-01-23,121.92,124.76,121.62,124.07,10487128.0
JPM,2023-01-24,127.09,127.09,121.8,125.25,6944991.0
JPM,2023-01-25,124.85,125.92,124.05,125.92,8967007.0
JPM,2023-01-26,126.22,126.86,125.16,126.78,7487631.0
JPM,2023-01-27,127.41,128.06,126.55,127.12,7489946.0
JPM,2023-01-30,126.03,126.89,125.71,125.93,6729255.0
JPM,2023-01-31,126.68,126.87,125.05,126.76,9188738.0
JPM,2023-02-01,125.01,127.68,124.92,126.39,8841846.0
JPM,2023-02-02,126.8,127.26,124.8,125.74,11822064.0
JPM,2023-02-03,124.98,129.13,124.93,127.89,11501232.0
JPM,2023-02-06,127.03,129.04,126.83,128.72,8406231.0
JPM,2023-02-07,128.18,131.14,127.98,130.45,10447888.0
JPM,2023-02-08,129.45,130.84,129.08,129.44,6957965.0
JPM,2023-02-09,129.92,130.14,126.67,127.22,6443109.0
JPM,2023-02-10,126.58,128.08,125.39,127.84,6582853.0
JPM,2023-02-13,128.1,129.53,127.54,129.37,7134607.0
JPM,2023-02-14,129.3,130.61,128.4,130.0,9249399.0
JPM,2023-02-15,128.41,130.69,128.1,130.6,6731172.0
JPM,2023-02-16,129.71,130.19,128.48,128.62,8165306.0
JPM,2023-02-17,127.78,129.63,126.87,129.04,7948829.0
JPM,2023-02-21,127.49,128.14,125.55,126.43,9996283.0
JPM,2023-02-22,125.72,126.23,124.24,125.36,11107501.0
JPM,2023-02-23,125.53,126.97,124.74,126.47,8068010.0
JPM,2023-02-24,125.91,128.16,125.73,127.73,9126888.0
JPM,2023-02-27,128.91,130.11,128.52,128.96,10014654.0
JPM,2023-02-28,129.74,130.56,128.7,130.15,11019757.0
JPM,2023-03-01,128.9,130.26,128.6,129.35,7139155.0
JPM,2023-03-02,129.04,129.23,126.34,127.87,11107549.0
JPM,2023-03-03,128.31,130.54,127.88,130.46,9513063.0
JPM,2023-03-06,130.24,130.84,129.46,129.62,9261255.0
JPM,2023-03-07,128.81,129.11,124.61,125.42,11747620.0
JPM,2023-03-08,124.8,125.39,123.69,124.6,10002548.0
JPM,2023-03-09,123.56,124.15,116.02,117.14,25888097.0
JPM,2023-03-10,115.76,122.06,114.62,120.45,37599655.0
JPM,2023-03-13,118.01,120.68,116.21,118.05,42901132.0
JPM,2023-03-14,122.08,122.33,118.09,121.42,29648116.0
JPM,2023-03-15,117.78,117.79,113.53,115.06,34280607.0
JPM,2023-03-16,114.81,118.75,112.82,117.55,24570587.0
JPM,2023-03-17,115.18,115.28,112.25,112.61,38395982.0
JPM,2023-03-20,113.79,116.27,112.81,113.94,22875505.0
JPM,2023-03-21,117.39,118.53,116.99,117.35,17807808.0
JPM,2023-03-22,117.36,117.46,113.88,113.98,17250168.0
JPM,2023-03-23,114.7,116.33,112.82,113.64,16677640.0
JPM,2023-03-24,112.43,112.48,109.91,111.71,22326916.0
JPM,2023-03-27,113.59,116.18,113.09,115.29,18853935.0
JPM,2023-03-28,115.51,116.14,114.54,115.68,10820466.0
JPM,2023-03-29,116.9,117.02,114.57,115.94,14595260.0
JPM,2023-03-30,116.75,116.92,114.45,115.55,12134675.0
JPM,2023-03-31,116.46,117.14,115.65,117.11,13105215.0
JPM,2023-04-03,116.71,118.24,116.21,116.96,11775388.0
JPM,2023-04-04,117.3,117.39,114.21,115.22,11579916.0
JPM,2023-04-05,114.6,115.95,114.26,115.41,9614692.0
JPM,2023-04-06,114.8,115.88,114.66,115.27,8760220.0
JPM,2023-04-10,114.34,116.03,114.02,115.69,9477292.0
JPM,2023-04-11,116.1,116.74,115.34,116.32,10516267.0
JPM,2023-04-12,116.98,118.23,115.86,116.3,11820995.0
JPM,2023-04-13,116.26,116.84,114.63,116.79,12450242.0
JPM,2023-04-14,122.95,126.92,122.7,126.53,43931328.0
JPM,2023-04-17,127.75,127.86,125.46,127.63,16050486.0
JPM,2023-04-18,128.07,129.58,126.83,129.2,13760139.0
JPM,2023-04-19,129.03,129.3,128.2,129.02,9158112.0
JPM,2023-04-20,127.71,129.23,127.64,128.61,10586245.0
JPM,2023-04-21,127.54,128.91,126.58,128.34,11842537.0
JPM,2023-04-24,128.26,128.9,127.84,128.53,7567666.0
JPM,2023-04-25,127.4,127.76,125.43,125.47,10629325.0
JPM,2023-04-26,125.42,125.61,121.8,123.03,14416145.0
JPM,2023-04-27,123.8,125.71,123.46,124.85,9041092.0
JPM,2023-04-28,124.36,126.12,123.47,126.04,9887262.0
JPM,2023-05-01,130.06,131.17,128.63,129.0,20415762.0
JPM,2023-05-02,129.2,130.21,126.23,126.72,14113447.0
JPM,2023-05-03,126.24,126.47,123.56,123.78,12930906.0
JPM,2023-05-04,122.76,123.52,119.61,121.92,17089164.0
JPM,2023-05-05,124.24,125.68,123.71,124.54,11261394.0
JPM,2023-05-08,125.29,125.77,124.28,124.87,7484872.0
JPM,2023-05-09,123.73,124.75,123.01,124.21,7343573.0
JPM,2023-05-10,125.75,125.86,122.67,124.28,8133416.0
JPM,2023-05-11,122.8,124.61,122.7,123.85,7057277.0
JPM,2023-05-12,124.62,124.79,120.93,121.9,9988598.0
JPM,2023-05-15,122.07,123.47,121.76,123.03,7639451.0
JPM,2023-05-16,123.26,123.74,121.76,122.12,6483267.0
JPM,2023-05-17,123.7,126.39,123.26,126.25,12711522.0
JPM,2023-05-18,126.07,127.53,125.56,127.3,10999607.0
JPM,2023-05-19,127.59,128.29,125.93,126.98,13492239.0
JPM,2023-05-22,128.8,129.44,125.46,125.83,11402476.0
JPM,2023-05-23,125.34,126.83,124.26,124.39,9514897.0
JPM,2023-05-24,123.2,124.15,122.88,123.14,8577997.0
JPM,2023-05-25,122.62,124.07,122.38,123.47,8472505.0
JPM,2023-05-26,123.91,125.4,123.43,124.74,8579941.0
JPM,2023-05-30,124.6,125.52,123.82,125.26,7399867.0
JPM,2023-05-31,124.53,124.64,122.2,123.51,14219906.0
JPM,2023-06-01,124.32,126.03,123.25,125.38,12248094.0
JPM,2023-06-02,127.36,129.28,127.14,128.27,12922471.0
JPM,2023-06-05,127.91,127.91,125.93,126.89,8511902.0
JPM,2023-06-06,126.48,127.9,126.01,127.14,9329541.0
JPM,2023-06-07,127.35,129.07,126.63,128.49,9281389.0
JPM,2023-06-08,128.47,128.69,127.28,128.53,7370043.0
JPM,2023-06-09,128.15,129.6,128.01,128.81,7253946.0
JPM,2023-06-12,128.87,129.12,127.56,128.8,7600196.0
JPM,2023-06-13,128.28,130.67,127.94,129.82,7701567.0
JPM,2023-06-14,130.8,131.41,128.5,129.29,9068729.0
JPM,2023-06-15,128.39,131.2,127.83,130.89,9343096.0
JPM,2023-06-16,130.85,131.77,130.3,131.06,13813512.0
JPM,2023-06-20,130.41,130.8,128.84,130.33,8431008.0
JPM,2023-06-21,130.7,131.82,129.49,130.12,9926459.0
JPM,2023-06-22,130.11,130.4,126.75,127.38,10076325.0
JPM,2023-06-23,126.34,126.98,125.42,126.65,9919539.0
JPM,2023-06-26,126.67,127.81,125.49,126.99,8429727.0
JPM,2023-06-27,126.8,127.64,126.34,127.0,8154024.0
JPM,2023-06-28,126.96,127.01,125.76,126.39,7558644.0
JPM,2023-06-29,127.87,131.36,127.65,131.23,15423230.0
JPM,2023-06-30,132.4,133.8,131.46,133.24,14212816.0
JPM,2023-07-03,133.99,135.28,133.8,134.41,8021622.0
JPM,2023-07-05,133.74,134.23,133.16,133.44,8935519.0
JPM,2023-07-06,131.82,132.19,130.24,132.01,9714100.0
JPM,2023-07-07,132.71,134.64,131.8,133.14,8981456.0
JPM,2023-07-10,133.3,134.79,133.3,133.95,9100060.0
JPM,2023-07-11,135.14,136.62,134.51,136.22,11265592.0
JPM,2023-07-12,136.25,138.67,135.8,136.95,11323228.0
JPM,2023-07-13,137.5,138.17,136.55,137.67,11234925.0
JPM,2023-07-14,140.35,141.69,137.21,138.57,27028429.0
JPM,2023-07-17,139.15,142.55,139.15,142.18,17262394.0
JPM,2023-07-18,142.18,143.2,141.62,142.46,13491725.0
JPM,2023-07-19,141.55,144.01,141.02,143.05,12510000.0
JPM,2023-07-20,143.33,145.39,143.21,144.95,9935907.0
JPM,2023-07-21,144.6,144.94,143.49,143.75,10636378.0
JPM,2023-07-24,143.77,147.59,143.53,146.8,14381425.0
JPM,2023-07-25,146.1,146.52,144.76,145.62,9944679.0
JPM,2023-07-26,145.51,147.05,145.08,146.56,8728593.0
JPM,2023-07-27,146.57,147.58,144.35,144.82,10778406.0
JPM,2023-07-28,146.08,146.4,145.24,145.71,9105974.0
JPM,2023-07-31,145.98,148.18,145.95,146.76,8894353.0
JPM,2023-08-01,146.23,146.8,144.95,145.98,6855682.0
JPM,2023-08-02,144.36,144.49,142.74,144.2,8303708.0
JPM,2023-08-03,143.8,145.72,143.15,145.15,6087542.0
JPM,2023-08-04,145.2,146.6,144.5,144.82,6209397.0
JPM,2023-08-07,145.4,146.5,145.4,145.56,7251832.0
JPM,2023-08-08,143.12,144.78,141.39,144.68,8623379.0
JPM,2023-08-09,144.12,144.32,142.27,142.59,6277813.0
JPM,2023-08-10,143.18,144.24,141.89,142.36,5995076.0
JPM,2023-08-11,141.83,143.32,141.43,143.25,5180690.0
JPM,2023-08-14,142.41,143.72,141.72,143.57,5044282.0
JPM,2023-08-15,141.65,142.07,139.03,139.63,10300303.0
JPM,2023-08-16,139.4,139.76,138.48,138.99,6978235.0
JPM,2023-08-17,139.68,140.06,137.2,137.43,9953912.0
JPM,2023-08-18,136.45,138.3,136.24,137.77,8517460.0
JPM,2023-08-21,138.45,138.91,136.82,138.28,8327018.0
JPM,2023-08-22,138.06,138.44,134.65,135.18,9681972.0
JPM,2023-08-23,135.15,136.39,134.26,136.17,7858021.0
JPM,2023-08-24,136.3,138.21,135.79,136.03,6534026.0
JPM,2023-08-25,136.08,137.42,134.65,135.85,6695537.0
